Temp,Humd,Label
25,58,1
25,59,1
25,60,1
25,64,1
25,64,1
25,65,1
25,66,1
26,71,1
26,84,1
28,87,1
30,88,1
31,88,1
31,88,1
31,89,1
31,89,1
31,89,1
31,89,1
31,89,1
31,89,1
33,90,1
33,90,1
33,90,1
34,90,1
16,173,1
34,91,1
34,91,1
32,91,1
30,91,1
29,91,1
29,90,1
29,89,1
29,90,1
29,91,1
29,91,1
30,90,1
30,89,1
30,89,1
30,89,1
30,89,1
30,89,1
30,89,1
30,89,1
30,89,1
30,89,1
31,88,1
31,88,1
31,88,1
31,88,1
31,87,1
31,87,1
31,87,1
31,87,1
31,87,1
31,87,1
31,86,1
31,86,1
31,86,1
31,86,1
31,85,1
30,83,1
30,83,1
30,83,1
30,82,1
30,82,1
30,81,1
30,79,1
30,79,1
30,75,1
30,75,1
30,75,1
30,75,1
30,74,1
30,73,1
30,73,1
30,72,1
30,71,1
30,71,1
30,71,1
30,71,1
30,70,1
30,70,1
30,69,1
30,67,1
30,66,1
30,65,1
30,65,1
30,64,1
30,63,1
30,62,1
30,62,1
29,60,1
29,59,1
29,59,1
29,58,1
29,58,1
29,58,1
29,57,1
29,57,1
29,56,1
29,56,1
29,55,1
29,55,1
29,55,1
29,54,1
29,52,1
29,52,1
29,50,1
29,50,1
29,50,1
29,50,1
29,49,1
29,49,1
29,49,1
29,48,1
29,48,1
29,47,1
29,47,1
29,46,1
29,46,1
29,46,1
29,46,1
29,46,1
29,46,1
29,45,1
29,45,1
29,45,1
29,45,1
29,45,1
29,45,1
29,45,1
29,44,1
29,44,1
29,44,1
29,44,1
29,44,1
29,44,1
29,43,1
29,43,1
29,43,1
29,43,1
29,43,1
29,43,1
29,43,1
29,43,1
29,43,1
29,43,1
28,43,1
28,43,1
28,43,1
28,42,1
28,43,1
28,51,1
29,75,1
29,81,1
30,84,1
30,87,1
29,80,1
29,77,1
29,73,1
29,71,1
29,72,1
29,72,1
29,76,1
29,77,1
29,78,1
29,79,1
29,79,1
29,80,1
29,80,1
30,80,1
30,81,1
30,82,1
30,82,1
30,83,1
30,83,1
30,83,1
30,83,1
30,83,1
30,82,1
30,82,1
30,81,1
30,81,1
30,80,1
30,80,1
30,79,1
30,79,1
30,79,1
30,79,1
30,78,1
30,78,1
30,77,1
30,76,1
30,76,1
30,75,1
30,75,1
30,74,1
30,74,1
30,69,1
30,69,1
30,69,1
30,68,1
30,68,1
30,67,1
30,67,1
30,67,1
30,66,1
30,62,1
30,61,1
30,58,1
30,57,1
30,57,1
30,56,1
30,56,1
30,55,1
30,55,1
30,54,1
30,54,1
30,53,1
30,52,1
30,52,1
30,50,1
30,50,1
30,49,1
30,49,1
30,48,1
30,48,1
30,47,1
30,47,1
30,47,1
30,46,1
30,46,1
30,46,1
30,45,1
30,44,1
30,44,1
30,44,1
30,44,1
30,43,1
30,43,1
30,43,1
30,43,1
30,42,1
30,42,1
30,42,1
30,42,1
30,42,1
30,42,1
30,42,1
30,42,1
30,42,1
30,42,1
30,41,1
29,42,1
29,42,1
29,42,1
29,42,1
29,42,1
29,42,1
29,42,1
29,42,1
29,41,1
29,41,1
29,41,1
29,41,1
29,41,1
29,41,1
29,41,1
29,40,1
29,40,1
29,40,1
29,40,1
29,40,1
29,40,1
29,40,1
29,39,1
29,40,1
29,39,1
29,39,1
29,39,1
29,39,1
29,39,1
29,39,1
29,39,1
29,39,1
29,39,1
29,39,1
29,39,1
29,39,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
29,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,37,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,37,1
28,38,1
28,38,1
28,37,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
28,38,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
27,39,1
26,39,1
26,39,1
26,39,1
26,39,1
26,39,1
26,39,1
26,39,1
26,39,1
26,39,1
